"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Australia","All journals","AIDS","overall",2618,582,44.037,40.859,46.811,0.475,0.239,0.595,2.365,0,20.365,0.189,1.289,"Male-biased but improving"
"Belgium","All journals","AIDS","overall",936,168,41.488,34.978,46.582,-0.074,-1.204,0.402,NA,NA,NA,-0.021,0.348,"Male-biased and becoming more so"
"Brazil","All journals","AIDS","overall",2099,346,50,49.991,55.558,0,0,0.355,NA,NA,NA,3.296,25.548,"Essentially at parity"
"Canada","All journals","AIDS","overall",4634,908,44.662,42.72,46.409,0.365,0.217,0.464,1.365,0,11.365,0.159,0.888,"Male-biased but improving"
"China","All journals","AIDS","overall",1168,455,49.193,45.767,49.995,0.185,0,0.407,10,NA,NA,0.533,2.593,"Essentially at parity"
"Denmark","All journals","AIDS","overall",820,122,37.993,31.879,43.479,0.116,-0.906,0.68,NA,NA,NA,0.028,0.784,"Male-biased but improving"
"France","All journals","AIDS","overall",7162,1078,49.207,46.757,49.998,0.078,-0.111,0.145,0,NA,NA,0.256,0.272,"Essentially at parity"
"Germany","All journals","AIDS","overall",1500,272,35.442,30.437,39.978,0.672,0.168,0.998,33,NA,NA,0.131,2.434,"Male-biased but improving"
"India","All journals","AIDS","overall",1461,340,42.472,38.361,46.247,0.405,-0.079,0.646,20,NA,NA,0.134,1.055,"Male-biased but improving"
"Italy","All journals","AIDS","overall",5228,695,49.81,49.3,49.967,0.05,0.013,0.118,0,0,0,0.529,0.646,"Essentially at parity"
"Japan","All journals","AIDS","overall",885,171,35.658,29.411,42.067,0.829,0.221,1.171,29,NA,NA,0.158,3.056,"Male-biased but improving"
"Kenya","All journals","AIDS","overall",953,121,47.355,41.856,49.824,0.326,-0.263,0.557,12,NA,NA,0.314,1.472,"Essentially at parity"
"Netherlands","All journals","AIDS","overall",2219,390,46.793,43.914,48.703,0.453,0.291,0.571,0,0,3.365,0.309,1.807,"Essentially at parity"
"South Africa","All journals","AIDS","overall",2558,574,50.159,50,52.166,-0.045,-0.203,0.001,7,NA,NA,0.626,-1.157,"Essentially at parity"
"Spain","All journals","AIDS","overall",5711,762,46.206,44.156,47.835,0.242,0.062,0.317,12,NA,NA,0.14,0.527,"Essentially at parity"
"Sweden","All journals","AIDS","overall",843,148,49.281,45.68,49.998,0.159,0,0.364,8,NA,NA,0.468,1.425,"Essentially at parity"
"Switzerland","All journals","AIDS","overall",1643,301,43.764,40.662,46.527,0.887,0.716,1.046,2.365,0,6.365,0.332,4.544,"Male-biased but improving"
"Thailand","All journals","AIDS","overall",919,210,49.718,48.109,49.989,0.096,0.007,0.34,0,0,0,0.678,3.493,"Essentially at parity"
"Uganda","All journals","AIDS","overall",1883,261,43.9,40.225,46.864,0.519,0.121,0.692,18,NA,NA,0.2,1.456,"Male-biased but improving"
"United Kingdom","All journals","AIDS","overall",6007,1290,49.039,48.188,49.56,0.205,0.12,0.295,0,0,0,0.439,1.493,"Essentially at parity"
"USA","All journals","AIDS","overall",59280,12307,49.621,49.403,49.77,0.094,0.066,0.125,0,0,0,0.5,0.983,"Essentially at parity"
"Argentina","allDisciplines","allDisciplines","overall",95359,22461,46.017,45.231,46.706,-0.1,-0.259,0.007,NA,NA,NA,-0.053,0.111,"Essentially at parity"
"Australia","allDisciplines","allDisciplines","overall",692741,198549,41.378,41.179,41.597,0.318,0.297,0.339,14.365,13.365,16.365,0.089,0.876,"Male-biased but improving"
"Austria","allDisciplines","allDisciplines","overall",255960,53816,34.598,34.255,34.912,0.512,0.477,0.548,29.365,26.365,32.365,0.096,1.982,"Male-biased but improving"
