ID,trad_male,UHCollege,UHDept,Gender,YearPhDcompleted,YearsSincePhd,H2019,salary,female_c,udept_female_c,years_c,udept_avg_years_c,h_c,udept_avg_h_c,University,unique_college,unique_dept
00571f7a808ec06c,0,CLASS,Economics,Male,1999,20,21,358333,-0.125,-0.1044757665677547,2.208333333333332,-1.8515556384282696,2.833333333333332,-8.624324066178726,University4,University4: Social Sciences,University4: Economics
0017e47a8081a707,0,CLASS,Sociology,Female,1985,34,26,134149,0.33333333333333337,0.4371909000989119,19.11111111111111,-4.754333416206048,10.88888888888889,-11.679879621734283,University1,University1: Sciences,University1: Sociology
002a50e7233e9853,1,NSM,Physics,Male,1989,30,33,118850,-0.16129032258064516,-0.06818544398710955,3.419354838709676,6.937422856195386,-5.387096774193552,11.596106041348158,University3,University3: New College of Interdisciplinary Arts and Sciences,University3: Physics
001c1d263f6a043b,1,NSM,Mathematics,Female,1970,49,30,146964,0.8260869565217391,-0.05556272308949384,28.652173913043477,0.7046037818615858,8.434782608695652,-5.225773341541046,University2,University2: Arts and Sciences,University2: Mathematics
005a5ae9f70168f7,1,NSM,Computer Science,Male,2017,2,13,112270,-0.2857142857142857,0.056238519146530996,-12.785714285714286,-4.857508019380651,-12,-1.790990732845394,University5,University5: Engineering,University5: Computer Science
0060722b323d8708,0,CLASS,Political Science,Male,2015,4,7,80190,-0.19047619047619047,-0.038999576091564236,-16.523809523809526,0.880587218714588,-7.476190476190476,-12.314800256654918,University6,University6: Liberal Arts,University6: Political Science
00608215b4f09c39,0,CLASS,Psychology,Male,1990,29,77,223942,-0.4888888888888889,0.25941312232113417,7.222222222222221,2.134555472682841,29.244444444444447,20.96456482271016,University4,University4: Life Sciences,University4: Psychology
00684cd81949210e,1,NSM,Mathematics,Male,2008,11,6,82864.44,-0.17391304347826086,-0.05556272308949384,-9.347826086956523,0.7046037818615858,-15.565217391304348,-5.225773341541046,University2,University2: Arts and Sciences,University2: Mathematics
0090d609c0ef58e7,1,NSM,Biology & Biochemistry,Female,1984,35,43,174000,0.6666666666666667,0.10385756676557861,6.555555555555557,8.801222139349505,3.8888888888888857,12.32012037826572,University7,University7: Computer Mathematical & Natural Sciences,University7: Biology
0092bacdabcf5c29,1,Engineering,Biomedical Engineering,Male,2001,18,24,99928.44,-0.1875,-0.0419757665677547,2.375,-4.0182223050949375,-0.75,-2.040990732845394,University6,University6: Engineering,University6: Biomedical Engineering
00b3a8828f89572a,1,NSM,Physics,Male,1988,31,47,218000,-0.3125,0.0830242334322453,9.4375,1.9192776949050625,14.1875,6.021509267154606,University5,University5: Sciences,University5: Physics
00c7d3bbaa286949,1,NSM,Biology & Biochemistry,Male,1982,37,79,109710,-0.1875,-0.0419757665677547,17.75,-0.3932223050949375,51.375,0.834009267154606,University8,University8: Science,University8: Biological Sciences
01312248abacb17b,0,CLASS,Psychology,Male,1978,41,85,307476,-0.37037037037037035,0.14089460380261565,21.25925925925926,0.09751843564580298,48.407407407407405,9.801601859747201,University2,University2: Arts and Sciences,University2: Psychology
013aee2aebf7eff0,1,NSM,Computer Science,Male,2004,15,34,114401,-0.1794871794871795,-0.049988587080575214,-2.948717948717949,-1.6945043563769886,2.76923076923077,4.439778497923836,University3,University3: Engineering,University3: Computer Science
017a67c3d6d24be9,1,NSM,Chemistry & Biochemistry,Male,1996,23,59,143319.96,-0.125,-0.1044757665677547,0.25,3.1067776949050625,24.375,7.834009267154606,University9,University9: Natural Sciences and Mathematics,University9: Chemistry
017c8591b2550153,1,NSM,Earth & Atmospheric Sciences,Female,1995,24,24,108480,0.6428571428571428,0.12766709057510245,6.428571428571427,-2.0717937336663645,-2.428571428571427,-0.36241930427396696,University2,University2: Arts and Sciences,University2: Earth Sciences
0191ace948285746,1,Engineering,Electrical & Computer Engineering,Male,2010,9,13,98042.94,-0.125,-0.1044757665677547,-5.25,-5.3932223050949375,-15.8125,2.021509267154606,University9,University9: Engineering,University9: Electrical and Computer Engineering
019a4c8bd330f2a4,1,NSM,Physics,Male,2010,9,26,82161.96,-0.3333333333333333,0.10385756676557861,-12,1.3567776949050625,-38.66666666666667,37.87567593382128,University10,University10: College of Arts and Sciences,University10: Physics
019fae7efb0f08e1,1,Engineering,Electrical & Computer Engineering,Female,2013,6,7,97956,0.8536585365853658,-0.08313430315312056,-12.609756097560975,-1.0334662075339622,-23.975609756097562,4.184619023252168,University2,University2: Engineering,University2: Electrical and Computer Engineering
01a10caefc9cc9a4,0,CLASS,Psychology,Male,2011,8,13,89609.94,-0.5185185185185185,0.2890427519507638,-11.333333333333332,-0.30988897176160535,-24.444444444444443,10.653453711599049,University9,University9: Liberal Arts and Social Sciences,University9: Psychology
01abf2f8a89da13c,1,Engineering,Mechanical Engineering,Male,2003,16,14,97272,-0.1111111111111111,-0.1183646554566436,-2.166666666666668,-1.4765556384282696,-11.444444444444443,-1.3465462884009511,University5,University5: Engineering,University5: Mechanical and Aerospace Engineering
01c157cd5a7d0f41,0,CLASS,Psychology,Male,2010,9,13,86542,-0.38461538461538464,0.15513961804762993,-6.692307692307692,-3.950914612787246,-11,-2.790990732845394,University11,University11: Arts and Sciences,University11: Psychology
01c5b6808be8584b,1,NSM,Biology & Biochemistry,Female,1992,27,40,127665.69,0.16666666666666663,0.6038575667655787,-0.5,7.8567776949050625,10.833333333333332,2.375675933821274,University12,University12: College of Arts & Sciences,University12: Biology
01c913976fde8261,1,NSM,Biology & Biochemistry,Male,1971,48,54,208000,-0.3333333333333333,0.10385756676557861,19.555555555555557,8.801222139349505,14.888888888888886,12.32012037826572,University7,University7: Computer Mathematical & Natural Sciences,University7: Biology
01dddb1260602b7b,1,Engineering,Industrial Engineering,Male,2012,7,10,88305,0,-0.2294757665677547,-5.5,-7.1432223050949375,-4,-12.790990732845394,University13,University13: College of Engineering,University13: Industrial Manufacturing and Systems Engineering
0202951f2018449b,1,NSM,Earth & Atmospheric Sciences,Male,1987,32,63,180000,0,-0.2294757665677547,2.25,10.106777694905063,13.375,22.834009267154606,University7,University7: Computer Mathematical & Natural Sciences,University7: Atmospheric and Oceanic Science
023fbc48c2f3763b,1,NSM,Biology & Biochemistry,Female,1987,32,46,100101.06,0.72,0.050524233432245325,5.559999999999999,6.796777694905064,8.64,10.569009267154605,University9,University9: Natural Sciences and Mathematics,University9: Biology & Biochemistry
025604a73da03252,1,NSM,Mathematics,Male,2003,16,16,114129,-0.11538461538461539,-0.11409115118313931,-8.76923076923077,5.1260084641358326,-7.192307692307693,-3.5986830405377006,University6,University6: Science,University6: Mathematics
027963ad0fec470e,1,Engineering,Chemical & Biomolecular Engineering,Male,1984,35,43,169989.12,-0.125,-0.1044757665677547,15.9375,-0.5807223050949375,14.9375,1.271509267154606,University6,University6: Engineering,University6: Chemical Engineering
02841ce8aa00068b,1,NSM,Physics,Male,1990,29,41,171827.82,0,-0.2294757665677547,-0.8333333333333321,10.190111028238395,-4.166666666666664,18.37567593382127,University6,University6: Science,University6: Physics & Astronomy
